SOURCE_ROW,TIME,PI,X,Y,RA,DEC,KEV,MISSION,INSTRUMENT,OBSERVATION_ID,RECORD_KEY
57568,456568899.4490076,477,612,857,350.926,58.85339,1.74105,suzaku,xis,508011020,suzaku/xis/508011020
59739,456568971.4489976,418,903,842,350.76312,58.849056,1.5257,suzaku,xis,508011020,suzaku/xis/508011020
60001,456568971.4489976,829,604,805,350.93042,58.838333,3.02585,suzaku,xis,508011020,suzaku/xis/508011020
60696,456568995.4489943,507,727,793,350.8616,58.834892,1.85055,suzaku,xis,508011020,suzaku/xis/508011020
60933,456569003.4489932,501,768,808,350.83868,58.839233,1.82865,suzaku,xis,508011020,suzaku/xis/508011020
61397,456569019.448991,404,845,776,350.79562,58.829964,1.4746,suzaku,xis,508011020,suzaku/xis/508011020
61581,456569019.448991,355,700,796,350.8767,58.835754,1.29575,suzaku,xis,508011020,suzaku/xis/508011020
62049,456569035.44898885,718,796,839,350.823,58.84821,2.6207,suzaku,xis,508011020,suzaku/xis/508011020
64897,456569115.448978,367,681,857,350.8874,58.853413,1.33955,suzaku,xis,508011020,suzaku/xis/508011020
65326,456569131.4489759,1982,773,759,350.83588,58.82505,7.2343,suzaku,xis,508011020,suzaku/xis/508011020
65940,456569147.4489738,399,739,808,350.85492,58.839233,1.45635,suzaku,xis,508011020,suzaku/xis/508011020
66460,456569163.4489716,508,768,833,350.83868,58.846474,1.8542,suzaku,xis,508011020,suzaku/xis/508011020
66556,456569163.4489716,337,698,879,350.87787,58.859783,1.23005,suzaku,xis,508011020,suzaku/xis/508011020
66670,456569171.4489706,520,849,764,350.79337,58.82649,1.898,suzaku,xis,508011020,suzaku/xis/508011020
67018,456569179.44896954,1266,768,789,350.83868,58.833736,4.6209,suzaku,xis,508011020,suzaku/xis/508011020
67997,456569211.4489654,389,825,794,350.8068,58.83518,1.41985,suzaku,xis,508011020,suzaku/xis/508011020
68019,456569211.4489654,564,813,831,350.8135,58.84589,2.0586,suzaku,xis,508011020,suzaku/xis/508011020
68090,456569211.4489654,515,745,845,350.85156,58.849945,1.87975,suzaku,xis,508011020,suzaku/xis/508011020
69128,456569243.44896126,639,761,767,350.8426,58.827366,2.33235,suzaku,xis,508011020,suzaku/xis/508011020
69848,456569267.44895816,469,905,809,350.76202,58.8395,1.71185,suzaku,xis,508011020,suzaku/xis/508011020
70017,456569267.44895816,653,735,852,350.85715,58.85197,2.38345,suzaku,xis,508011020,suzaku/xis/508011020
70862,456569291.4489551,281,721,818,350.865,58.84213,1.02565,suzaku,xis,508011020,suzaku/xis/508011020
71182,456569299.4489541,119,653,916,350.90308,58.870483,0.43435,suzaku,xis,508011020,suzaku/xis/508011020
71396,456569307.4489531,915,722,899,350.86444,58.865578,3.33975,suzaku,xis,508011020,suzaku/xis/508011020
71486,456569315.4489521,532,893,843,350.76874,58.84935,1.9418,suzaku,xis,508011020,suzaku/xis/508011020
72184,456569331.4489501,408,702,779,350.8756,58.830833,1.4892,suzaku,xis,508011020,suzaku/xis/508011020
72395,456569339.4489491,370,773,826,350.83588,58.844448,1.3505,suzaku,xis,508011020,suzaku/xis/508011020
72397,456569339.4489491,707,750,757,350.84875,58.82447,2.58055,suzaku,xis,508011020,suzaku/xis/508011020
